,cancer_type,Full-data acc.,Full-data comp. time,PCA components,PCA calc. time,PCA explained variance,PCA acc.,Precision,Recall,F1Score
113,LGG,0.9902912621359223,1.0526198744773865,20,0.02651733160018921,0.5031056722767285,0.970873786407767,[0.96078431 0.98076923],[0.98       0.96226415],[0.97029703 0.97142857]
114,MESO,1.0,0.358593225479126,20,0.008583366870880127,0.5383654896326778,1.0,[1. 1.],[1. 1.],[1. 1.]
115,LAML,1.0,0.3672441244125366,20,0.004959225654602051,0.5504965694709285,1.0,[1. 1.],[1. 1.],[1. 1.]
116,BLCA,0.9523809523809523,1.1001821160316467,20,0.01654130220413208,0.4260789059841213,0.9166666666666666,[0.9047619  0.92857143],[0.92682927 0.90697674],[0.91566265 0.91764706]
117,OV,1.0,0.5656508803367615,20,0.02027791738510132,0.43501211233044346,1.0,[1. 1.],[1. 1.],[1. 1.]
118,LUSC,0.9439252336448598,1.2365310192108154,20,0.017823517322540283,0.4267551245865748,0.9532710280373832,[0.94339623 0.96296296],[0.96153846 0.94545455],[0.95238095 0.95412844]
119,ACC,1.0,0.3154740333557129,20,0.008594334125518799,0.5489276719797888,1.0,[1. 1.],[1. 1.],[1. 1.]
120,THYM,1.0,0.3620135188102722,20,0.009640038013458252,0.5770975858508319,1.0,[1. 1.],[1. 1.],[1. 1.]
121,ESCA,1.0,0.5537800192832947,20,0.009340405464172363,0.47373410986184017,0.9736842105263158,[1.   0.95],[0.94736842 1.        ],[0.97297297 0.97435897]
122,PAAD,0.9722222222222222,0.5306981801986694,20,0.009659767150878906,0.5018549077815108,0.9444444444444444,[0.94444444 0.94444444],[0.94444444 0.94444444],[0.94444444 0.94444444]
123,LIHC,0.9878048780487805,0.776472270488739,20,0.022432386875152588,0.46516502014098515,0.975609756097561,[0.95238095 1.        ],[1.         0.95238095],[0.97560976 0.97560976]
124,SARC,0.9803921568627451,0.5680420398712158,20,0.010760605335235596,0.43470034665893437,0.9803921568627451,[1.         0.96296296],[0.96 1.  ],[0.97959184 0.98113208]
125,GBM,1.0,0.4370802640914917,20,0.009800732135772705,0.5250573176775227,0.9705882352941176,[0.94444444 1.        ],[1.         0.94117647],[0.97142857 0.96969697]
126,TGCT,1.0,0.44970476627349854,20,0.007532238960266113,0.5655016384711112,1.0,[1. 1.],[1. 1.],[1. 1.]
127,KICH,0.95,0.3564167618751526,20,0.009318172931671143,0.5863964053166199,0.85,[0.88888889 0.81818182],[0.8 0.9],[0.84210526 0.85714286]
128,PCPG,1.0,0.38696181774139404,20,0.012433826923370361,0.519690934600155,1.0,[1. 1.],[1. 1.],[1. 1.]
129,UCS,0.9166666666666666,0.28302955627441406,20,0.008590996265411377,0.568169259834225,1.0,[1. 1.],[1. 1.],[1. 1.]
